ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
LFUS,0.0387,36.1670,3.8780,2.5430,376228992.0000,2209690112.0000,0.1893,0.1409,0.3650,2.2857,1.9248,3.8200,4727998464.0000,12.2140,2.1397,0.7199,1.3710,24715100.0000,24415817.0000,3.5000,4.6992,63.4009,2.7789,-52.5237,3.1289,4.5618,429706.6667,-39.1366,1.7600,4.8105
STRA,0.0686,7.2710,1.2650,1.0520,159356992.0000,1233270016.0000,0.1682,0.1374,0.4721,1.6667,1.2782,4.6800,2113371520.0000,9.6210,1.7136,0.5128,0.5200,24163200.0000,23056256.0000,4.6000,,42.5603,-3.0439,-57.8727,2.7415,4.8193,1631066.6667,-12.6782,7.0743,4.1119
TDUP,-0.4415,101.2610,0.9220,0.7780,5248000.0000,266788992.0000,-0.0634,-0.0762,0.7938,1.5000,13.0672,-0.3600,732597824.0000,-31.5190,2.7460,0.0000,,94806200.0000,89025947.0000,-10.4000,,109.6876,-0.9370,-64.7185,3.8832,10.4622,1361770.0000,-23.7307,1.5296,5.8876
YMAB,-0.3074,0.8910,4.1570,3.6680,-15714000.0000,87685000.0000,-0.2803,-0.1647,0.8261,1.8000,1.9315,-0.6700,178843760.0000,-5.1180,2.0396,0.0000,0.5210,45276900.0000,27846710.0000,13.4000,46.0993,91.4893,-1.5961,-84.4093,6.3551,6.0033,2760916.6667,18.8147,9.9147,23.9437
BDN,-0.1808,223.9860,1.0970,1.0880,163628992.0000,312537984.0000,0.1746,0.0162,0.4001,2.6667,0.7297,-1.2000,726822528.0000,53.4490,2.3255,5.4286,1.3820,172950000.0000,167018302.0000,-1.3000,,49.6666,0.1368,-50.9796,3.0305,3.9989,202693.3333,-70.8315,0.1214,2.1571
ADPT,-0.6103,115.8970,2.9210,2.7160,-85343000.0000,189527008.0000,-0.6195,-0.5645,0.5352,1.7500,7.6856,-0.9500,1462960640.0000,-13.2060,7.7190,0.0000,1.7570,151916992.0000,99810806.0000,25.2000,46.1511,42.0138,-1.6322,-34.6581,1.8805,4.4165,581900.0000,-65.3451,0.5830,1.5730
LIF,-0.0150,0.2020,3.1160,2.8540,32612000.0000,371484000.0000,0.0053,0.0508,0.7515,1.1429,27.4953,-0.0600,3330431744.0000,1600.1130,8.9652,0.0000,0.9540,76421104.0000,71806425.0000,32.8000,25.7840,35.9106,-0.8725,-25.9534,2.1232,3.6689,91456.6667,-36.1207,0.1274,4.8493
ASPN,0.0243,32.1100,3.7180,2.9970,45549000.0000,452699008.0000,0.1870,0.1261,0.4131,,0.7280,0.1700,447881664.0000,5.0430,0.9894,0.0000,2.7200,82104800.0000,80981745.0000,46.2000,3.5787,47.6302,-1.8916,-53.2578,3.2441,5.5457,272920.0000,-66.1836,0.3370,3.5757
VRSN,,,0.5550,0.5040,936600000.0000,1575399936.0000,0.7024,0.6741,0.8783,2.3333,-13.4722,8.1700,26578393088.0000,25.1810,16.8709,0.0000,0.8020,93900000.0000,93015462.0000,4.7000,6.4628,20.7262,3.5705,-9.9188,1.0396,1.4545,1198676.6667,-49.4031,1.2887,1.0553
IBOC,0.1520,,,,479016992.0000,803859968.0000,0.0000,0.6325,0.0000,,1.3500,6.5700,3908223488.0000,,4.8618,0.2009,,62218000.0000,56004798.0000,1.0000,,108.0892,-0.1923,-70.9338,4.1871,8.8689,7780760.0000,-21.8016,13.8930,2.8487
