,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
price_to_sales,0.03469834731172,0.0019649390492830912,-0.14088315239519467,0.5751866170142944,0.22024014273117956,-0.07390752212607997,-0.19060837398076091,0.1663204901176653,0.09346800210250561,0.06542281453047158,0.32139683124919743,0.6283280971746293,0.12459475196232728,-0.002168443467292483,-0.047187963400818614,-0.02905200620412584,0.016809028187504616,-0.0031621928881900474,-0.009077536489006055,0.0076357489626048495,0.0011389775724826637
payout_ratio,0.007143803982214379,-0.006764851996448405,0.028588165981665508,0.19876291810671265,-0.27506948841835926,0.5386213513915478,0.35133841645532354,0.1956536109066113,-0.483237574869666,0.1630476951431455,-0.28364200661518485,0.2247519893383965,0.032905518950767924,0.1649807650960043,-0.11184321722289899,0.011851740775827495,0.004374839765003957,0.002369038084238072,-0.002694509075313041,-0.005321948596150365,0.001881655800510579
hist_volatility,0.41103238933000935,0.20916052845641261,0.15558103753532274,-0.023598067856421608,0.009432584504437574,-0.02878605782790061,0.0275189858697903,0.02371125952461309,0.04244192143466457,0.058926087742963935,-0.05958790805324688,0.012865146059760846,0.06494718970161639,0.012188051691707653,0.06591656133539793,-0.13554126810870273,0.3859547527250441,0.18209834639638067,-0.08554194860181637,0.7312887339200229,-0.0032138806445847273
beta,0.07199964418205033,-0.020998226955411942,-0.24833413421058687,0.1406955068577547,-0.11820371870019201,-0.387364297643037,0.1866154340799321,-0.4239134761046219,-0.16567704731452482,-0.5332106919134404,-0.373957408222283,0.2176164517303163,0.14455140882712866,0.10344472446229006,-0.01445740175854316,0.012418146284883434,0.042718617645398874,0.01726350627269179,-0.026730565146809104,-0.006841356018872789,-0.02349278881445102
max_drawdown,-0.4126171836014064,-0.12323624830360365,-0.03130699517721139,-0.01172442015277106,0.004429434387853912,-0.01807178104931839,0.022609521680163797,0.03673201877773843,0.049051971020046214,0.03652451425128076,0.0028737815276871892,-0.0007126927114109638,0.044456925112332554,0.04171603744112003,-0.022719942301575216,0.32982173545892984,0.5592961659632687,0.5683699920566467,-0.19925985679493669,-0.13631035080804083,0.01816268731658299
stddev_returns,0.42242129476737383,0.1594033068191028,0.0922129382744842,0.01695443934026342,-0.0045791010917513785,0.03262429465821689,0.02344050844239855,-0.013881315094054287,0.008329352430291335,-0.02465123898822134,0.03412180238492906,-0.019698346977891936,0.028033266445567636,-0.04382796769048658,0.030465272749458375,-0.2531662111579534,-0.3248228352728855,0.6699254283106442,-0.17095603086827318,-0.36334101186129797,0.004762785432988226
value_at_risk,0.3927938172040947,0.19411972943380018,0.1501793337613211,-0.035754342945021146,0.038051363307913366,0.04682488649454359,-0.09273860607374229,0.05477076220076311,-0.009528192115640828,-0.05678901597901013,-0.05336494080819321,0.016941244674928496,0.04415521729470807,0.0049367090232556865,0.10963709326473424,-0.029917108527225313,0.5849829811478864,-0.3185998757822603,0.08310075083171775,-0.5449383528403705,0.00656408034153871
avg_volume_30d,-0.05786974409671084,0.36625158012202347,0.05647385908900893,-0.006518939552929129,0.015851271463209703,0.06399807194358731,-0.01781997497488819,-0.011320590864304937,0.045186699817676666,0.031250254127723205,-0.02683598764217547,-0.13371420889299165,0.8030100876640955,-0.19385139762206033,-0.20684018009946906,0.29035847661235137,-0.13034616196672455,-0.03385586067925316,0.0680067156963399,0.003370647830806044,-0.024519254451821317
bid_ask_spread,0.3628061620538836,0.11715476887210309,0.038639549057686386,-0.018386962393883818,0.045990376915065266,-0.03864645052966228,-0.0007220387387426027,0.046172085216327326,-0.0029540813478107155,-0.05959263166376968,0.04224538631402103,0.05699543913660042,-0.3342999196790708,0.13431083528610305,-0.1165075121166392,0.8143459986276811,-0.17469442589857423,0.010382516556123598,0.002000746794198301,0.036314026899996944,-0.001803805749030088
volume_growth,0.07440916677687774,0.0088117867218234,-0.023230411278851476,0.04297963175404439,-0.11664879096371794,-0.46617759680931703,0.5485580349554865,-0.07196145393797725,0.19893701195043792,0.6242077780522732,-0.024914734655042778,0.035855529552749635,0.011220298186041483,0.024557214466984428,-0.056603815831157804,0.0029687157076050967,0.01160287626363992,-0.07077783970689171,0.024356761947358422,-0.1190746435582238,0.0005566420533220163
