ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue
PDM,-0.03786,140.006,0.548,0.474,178464992.0,568472000.0,0.43982,0.14644,0.59084,2.33333,0.51869863,-0.5,809274048.0,11.969,1.4235953,1.6777999,1.339,124408000.0,123141537.0,-1.3,
GPOR,-0.13219,40.541,0.669,0.481,650033024.0,909219008.0,0.51085997,0.09917,0.5579,1.45455,1.8781459,-14.72,3229598464.0,8.596,3.5520577,0.0,0.613,17883100.0,15092228.0,8.799999999999999,
FC,0.24809,5.725,0.903,0.699,42821000.0,286195008.0,0.12979001,-0.02441,0.7701,,3.7077143,1.33,269040192.0,6.318,0.940059,0.0,0.834,12987700.0,10911507.0,-2.8000000000000003,
PFE,,76.181,,,,62464000000.0,0.37632,0.35421002,0.74424005,2.5,1.5057182,1.38,132910432256.0,7.764,2.1277926,1.2246,0.502,5671450112.0,5657705935.0,-7.8,16.062705067444405
KSS,0.02833,188.296,1.082,0.094,648000000.0,16220999680.0,0.07651,0.03539,0.40441,3.5,0.19663087,0.98,749767168.0,6.294,0.04622201,2.0408,1.638,111324000.0,110151307.0,-9.4,
DK,-0.81672996,530.094,0.927,0.541,-66800000.0,11852199936.0,0.010039999,-0.05515,0.02587,3.28571,2.8074386,-9.98,868600064.0,28.911,0.073285975,3.0832999,0.721,61866100.0,57297128.0,-39.800000000000004,
LANC,0.17772,,2.359,1.242,207416000.0,1886520064.0,0.15268,0.106120005,0.23704,2.5,4.475177,6.15,4458336768.0,,2.3632596,0.6016,0.509,27569100.0,19870357.0,20.200000000000003,
DUOL,0.120570004,6.101,2.684,2.453,307630016.0,811214016.0,0.10285,0.102690004,0.72251,2.17391,24.706316,2.03,22101876736.0,257.862,27.245432,0.0,0.876,39260600.0,36594304.0,37.7,30.505800826027222
RYAN,0.18193,365.741,1.048,0.153,488582016.0,2593912064.0,0.27193,0.15422,0.38961,2.15385,15.89431,0.36,17968541696.0,18.057,6.933778,1.25,0.676,126643000.0,105507481.0,25.7,
KALU,0.07062,141.9,2.668,1.169,160800000.0,3063899904.0,0.07393,0.054029997,0.11446,2.33333,1.4336766,3.06,1095268352.0,9.522,0.35747525,1.0065,1.399,16154400.0,15706948.0,5.4,
SOUN,-3.32681,2.391,3.772,3.662,-108878000.0,84693000.0,-1.1303099,-0.86924005,0.48863998,2.0,19.181034,-1.04,3565259776.0,-36.275,42.096275,0.0,2.991,368056000.0,363422166.0,101.49999999999999,59.039458066757376
KD,0.110530004,328.239,1.092,0.744,506000000.0,15107000320.0,0.06931,0.02644,0.20236,1.5,6.98517,0.58,7671921664.0,9.898,0.50783885,0.0,1.98,232694000.0,230472270.0,-4.9,
WAFD,0.07699,,,,281336000.0,729804992.0,0.0,0.44063,0.0,,0.84700173,2.68,2297337088.0,,3.147878,0.39180002,0.835,80158304.0,79327012.0,13.5,
EQT,0.022969998,34.392,0.568,0.516,3412476928.0,6155850752.0,0.47884998,0.21042,0.68419,1.82609,1.530005,0.61,31700240384.0,14.871,5.1496115,1.0328,0.591,598625984.0,593196462.0,88.5,
BOOM,-0.29367,26.325,2.657,1.156,37644000.0,635272000.0,0.08573,0.05085,0.2352,2.66667,0.54430276,-8.17,138209776.0,7.927,0.21756,0.0,1.47,20490700.0,17217124.0,-4.5,
WMS,0.36683998,95.949,3.208,1.899,557929984.0,2942323968.0,0.28835,0.1863,0.3814,1.33333,5.631545,5.98,8843904000.0,11.63,3.0057547,0.1037,1.306,77574704.0,71046753.0,4.3,
