iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"QCOM","QUALCOMM INC","Information Technology","Equity","42,086,896.32","0.29","42,086,896.32","301,828.00","139.44","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","42,070,537.55","0.29","42,070,537.55","130,205.00","323.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","41,552,973.65","0.28","41,552,973.65","149,455.00","278.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","41,382,133.36","0.28","41,382,133.36","396,989.00","104.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","40,512,639.42","0.28","40,512,639.42","144,657.00","280.06","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","39,868,100.46","0.27","39,868,100.46","245,463.00","162.42","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","39,374,665.68","0.27","39,374,665.68","305,372.00","128.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","37,762,633.75","0.26","37,762,633.75","176,255.00","214.25","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","37,625,204.02","0.26","37,625,204.02","201,787.00","186.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","37,350,426.96","0.25","37,350,426.96","448,008.00","83.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","37,335,906.72","0.25","37,335,906.72","97,902.00","381.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","36,996,944.40","0.25","36,996,944.40","309,339.00","119.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","36,734,744.50","0.25","36,734,744.50","555,745.00","66.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","36,645,378.77","0.25","36,645,378.77","39,809.00","920.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","36,603,236.67","0.25","36,603,236.67","1,533,441.00","23.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","35,913,150.08","0.24","35,913,150.08","511,292.00","70.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","35,713,375.55","0.24","35,713,375.55","164,935.00","216.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","34,997,293.92","0.24","34,997,293.92","69,968.00","500.19","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","34,845,830.50","0.24","34,845,830.50","1,011,490.00","34.45","United States","NASDAQ","USD","1.00","USD","-"
